ano,ranking,nome,cpf_cnpj,tipo_pessoa,total_pago,total_empenhado
2024,6,IPSEM-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS MUNICIPAIS,41134826000120,PJ,351128103.59,352649743.94
2024,7,SAELPA/ENERGISA,9095183000140,ND,230333257.35,236834121.76
2024,8,TRIBUNAL DE JUTICA DA PARAIBA,9283185000163,ND,219342364.95,220461767.0
2024,9,PREFEITURA MUNICIPAL DE PATOS,9084815000170,ND,188512818.13,189074384.02
2024,10,EXEMPLAR SERVICE E LIMPEZA TDA,13531490000102,PJ,171960978.73,179322082.13
2024,11,PREFEITURA MUNICIPAL DE CABEDELO,9012493000154,ND,160620287.18,160634403.26
2024,12,SECRETARIA DA RECEITA FEDERAL-MINISTERIO DA FAZENDA,394460008630,ND,153310575.85,158603995.11
2024,13,PREFEITURA MUNICIPAL DE BAYEUX,8924581000160,ND,136604696.1,138748510.79
2024,14,PREFEITURA DE SANTA RITA,9159666000161,ND,134527903.8,134603881.97
2024,15,SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL,394460005887,ND,129866603.75,134894424.12
2024,16,PREFEITURA MUNICIPAL DE CAJAZEIRAS,8923971000115,ND,110703348.05,114010403.87
2024,17,STTRANS -GUARABIRA/PB,8785479000120,ND,96734919.87,96734919.87
2024,18,IPREVSR,8608754000130,ND,95747896.59,99126739.37
2024,19,PREFEITURA MUNICIPAL DE SAO BENTO,9069709000118,ND,92361740.59,92361740.59
2024,20,INSTITUTO NACIONAL DO SEGURO SOCIAL-INSS,29979036016306,PJ,86492145.65,90444479.87
2024,21,PREFEITURA MUNICIPAL DE QUEIMADAS,8742264000122,ND,86467100.95,86467100.95
2024,22,PREFEITURA MUNICIPAL DE ALHANDRA,8778318000100,ND,86384723.02,86384723.02
2024,23,IPAM - INSTITUTO DE PREVID. DOS SERV. MUNICIPAIS,8608937000156,ND,83735272.35,86591203.15
2024,24,IPSEMEC-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MU,41216755000105,PJ,79483690.28,84690986.21
2024,25,FUNDO MUNICIPAL DE SAÚDE,8694222000163,ND,73488345.14,73539139.02
2024,26,PREFEITURA MUNICIPAL DE POMBAL,8948697000139,ND,73406321.53,73406321.53
2024,27,CAMARA MUNICIPAL DE JOAO PESSOA,9283482000109,ND,72220017.88,72220017.88
2024,28,ISSMP-INSTITUTO DE SEGURIDADE SOCIAL DO MUNICÍPIO DE PATOS-ISSMP,3391291000184,ND,70701154.69,72590921.71
2024,29,TECHSOL INFRAESTRUTURA E SERVIÇOS,35035266000235,PJ,67676083.14,67676083.14
2024,30,CÂMARA MUNICIPAL DE CAMPINA GRANDE,10762011000162,PJ,66298480.58,66299574.34
2025,1,PREFEITURA MUNICIPAL DE CAMPINA GRANDE,8993917000146,ND,796029636.94,809387024.7
2025,2,SECRETARIA MUNICIPAL DA FAZENDA,8806721000103,ND,789198079.69,789198079.69
2025,3,FUNDO MUNICIPAL DE SAUDE,8715618000140,ND,676096587.55,676096587.55
2025,4,IPM-INSTITUTO DE PREVIDENCIA DO MUNICIPIO,40955403000109,PJ,598248871.35,598349178.32
2025,5,MINISTERIO DA PREVIDENCIA SOCIAL *,29979036000140,PJ,520057293.81,558452102.38
2025,6,IPSEM-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS MUNICIPAIS,41134826000120,PJ,335955105.79,378246854.42
2025,7,SAELPA/ENERGISA,9095183000140,ND,241166994.45,256611729.59
2025,8,PREFEITURA MUNICIPAL DE PATOS,9084815000170,ND,216472609.05,216472609.05
2025,9,EXEMPLAR SERVICE E LIMPEZA TDA,13531490000102,PJ,178911148.9,186094257.39
2025,10,SECRETARIA DA RECEITA FEDERAL-MINISTERIO DA FAZENDA,394460008630,ND,178183882.73,188716911.11
2025,11,TRIBUNAL DE JUTICA DA PARAIBA,9283185000163,ND,168873236.05,171165483.78
2025,12,PREFEITURA MUNICIPAL DE CABEDELO,9012493000154,ND,164986114.86,165414834.87
2025,13,SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL,394460005887,ND,157261717.97,163656519.7
2025,14,PREFEITURA DE SANTA RITA,9159666000161,ND,149584737.65,149644362.99
2025,15,PREFEITURA MUNICIPAL DE BAYEUX,8924581000160,ND,133654108.4,133693136.53
2025,16,PREFEITURA MUNICIPAL DE CAJAZEIRAS,8923971000115,ND,113743034.42,116172346.06
2025,17,INSTITUTO NACIONAL DO SEGURO SOCIAL-INSS,29979036016306,PJ,105518721.5,110421210.42
2025,18,STTRANS -GUARABIRA/PB,8785479000120,ND,104403676.65,104403676.65
2025,19,PREFEITURA MUNICIPAL DE QUEIMADAS,8742264000122,ND,102201597.86,102201597.86
2025,20,PREFEITURA MUNICIPAL DE ALHANDRA,8778318000100,ND,96445774.31,96445774.31
2025,21,PREFEITURA MUNICIPAL DE SAO BENTO,9069709000118,ND,96192338.47,98240418.37
2025,22,IPAM - INSTITUTO DE PREVID. DOS SERV. MUNICIPAIS,8608937000156,ND,90548063.22,104731064.93
2025,23,CAMARA MUNICIPAL DE JOAO PESSOA,9283482000109,ND,88599733.28,88599733.28
2025,24,FUNDO MUNICIPAL DE SAÚDE,8694222000163,ND,87382831.08,87435283.08
2025,25,PREFEITURA MUNICIPAL DE POMBAL,8948697000139,ND,83347114.38,83350150.38
2025,26,IPSEMEC-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MU,41216755000105,PJ,76664830.47,80182828.45
2025,27,ISSMP-INSTITUTO DE SEGURIDADE SOCIAL DO MUNICÍPIO DE PATOS-ISSMP,3391291000184,ND,76278836.75,76290223.59
2025,28,TECHSOL INFRAESTRUTURA E SERVIÇOS,35035266000235,PJ,72741518.28,72741518.28
2025,29,PREFEITURA MUNICIPAL DE SAPÉ,8917080000156,ND,72425956.9,72425956.9
2025,30,MINISTERIO DA PREVIDENCIA E ASSISTENCIA SOCIAL-MPAS,29979036016225,PJ,71601134.75,76001309.21
